1	2	3	0.028837837	0.960034491
1	2	4	0.046444726	0.579628453
1	2	5	0.062060096	0.551378613
1	2	6	0.064286427	0.588081777
1	2	7	0.063033034	0.623659813
1	2	8	0.057978459	0.670086118
1	2	9	0.054729849	0.711088876
1	3	4	0.060619254	0.395308623
1	3	5	0.068364445	0.440489671
1	3	6	0.062912708	0.508483618
1	3	7	0.058934779	0.560655616
1	3	8	0.053229402	0.619837842
1	3	9	0.049854455	0.671265908
1	4	5	0.047338723	0.497973884
1	4	6	0.04423395	0.59819308
1	4	7	0.04272486	0.665379581
1	4	8	0.040214959	0.746087599
1	4	9	0.038768122	0.809430785
1	5	6	0.03631612	0.765415643
1	5	7	0.035942109	0.834029585
1	5	8	0.034425207	0.948372023
1	5	9	0.031378866	1.02018496
1	6	7	0.033466049	0.939508806
1	6	8	0.031295999	1.12814281
1	6	9	0.030783061	1.20148974
1	7	8	0.030063534	1.48045473
1	7	9	0.030100227	1.43867034
1	8	9	0.030124739	1.3996898
2	3	6	0.10585953	0.400157649
2	3	7	0.075511401	0.474293497
2	3	8	0.060008523	0.550722249
2	3	9	0.053353085	0.61642261
2	4	5	0.049228676	0.473942487
2	4	6	0.044456592	0.602660601
2	4	7	0.0426446	0.683791102
2	4	8	0.040005439	0.779383003
2	4	9	0.038547416	0.852140489
2	5	6	0.036013653	0.81628894
2	5	7	0.03569468	0.893706936
2	5	8	0.032045919	1.02624039
2	5	9	0.031378866	1.1055057
2	6	7	0.032633835	1.01229784
2	6	8	0.031295999	1.23151248
2	6	9	0.030783061	1.31017326
2	7	8	0.030063534	1.63941702
2	7	9	0.030100227	1.57890053
2	8	9	0.030124739	1.52234128
3	4	5	0.045408299	0.563950476
3	4	6	0.042569989	0.700403095
3	4	7	0.041376824	0.78391663
3	4	8	0.039162181	0.887927532
3	4	9	0.037936579	0.963454371
3	5	6	0.035417582	0.92675721
3	5	7	0.033138493	1.00385308
3	5	8	0.032045919	1.14975916
3	5	9	0.031378866	1.23130454
3	6	7	0.032633835	1.12191524
3	6	8	0.031295999	1.36780024
3	6	9	0.030783061	1.44700549
3	7	8	0.030063534	1.82526881
3	7	9	0.030100227	1.74054831
3	8	9	0.030124739	1.66108734
4	5	6	0.033659005	1.20574697
4	5	7	0.033138493	1.27218955
4	5	8	0.032045919	1.46505336
4	5	9	0.031378866	1.54999349
4	6	7	0.032633835	1.3732689
4	6	8	0.031295999	1.71639401
4	6	9	0.030783061	1.79158844
4	7	8	0.030063534	2.34969302
4	7	9	0.030100227	2.16642456
4	8	9	0.030124739	1.99384183
5	6	7	0.032633835	1.53137886
5	6	8	0.031295999	2.09913355
5	6	9	0.030783061	2.15217342
5	7	8	0.030063534	3.12331217
5	7	9	0.030100227	2.69363197
5	8	9	0.030124739	2.29124806
6	7	8	0.030063534	4.52887668
6	7	9	0.030100227	3.42550956
6	8	9	0.030124739	2.40483067
7	8	9	0.030473296	0.837474159

