1	2	3	0.028753057	0.536148789
1	2	4	0.031765503	0.573023845
1	2	5	0.029096927	0.652964031
1	2	6	0.032297812	0.705209104
1	2	7	0.026572769	0.790228874
1	2	8	0.030664075	0.798194684
1	2	9	0.025206364	0.866310046
1	2	10	0.021824489	0.934732814
1	3	4	0.020532647	0.620550262
1	3	5	0.018999925	0.723705809
1	3	6	0.020971564	0.768270591
1	3	7	0.018664575	0.866609285
1	3	8	0.020889346	0.862998199
1	3	9	0.018442149	0.939919711
1	3	10	0.010614121	1.0121364
1	4	5	0.014823855	0.815361694
1	4	6	0.016808672	0.828622319
1	4	7	0.015378095	0.941958931
1	4	8	0.017110681	0.920957114
1	4	9	0.011162697	1.00747328
1	4	10	0.010551467	1.08282781
1	5	6	0.014774403	0.839917293
1	5	7	0.01146684	1.00880413
1	5	8	0.014745606	0.959972233
1	5	9	0.011053574	1.06799639
1	5	10	0.010459065	1.15207096
1	6	7	0.010617341	1.28842075
1	6	8	0.011543643	1.05245022
1	6	9	0.010749454	1.20387231
1	6	10	0.010252899	1.29203915
1	7	8	0.013465218	0.846244833
1	7	9	0.010794225	1.15633408
1	7	10	0.010202868	1.2933931
1	8	9	0.0097439	1.76764601
1	8	10	0.009784044	1.65471016
1	9	10	0.009800194	1.57740464
2	3	4	0.018651284	0.684171758
2	3	5	0.017368921	0.818211129
2	3	6	0.019556452	0.852088921
2	3	7	0.017663852	0.967643208
2	3	8	0.019881139	0.948338387
2	3	9	0.01123625	1.03634108
2	3	10	0.010614121	1.11264573
2	4	5	0.013864114	0.937037479
2	4	6	0.016013247	0.920501497
2	4	7	0.011620398	1.05398098
2	4	8	0.01185306	1.01117805
2	4	9	0.011162697	1.11035431
2	4	10	0.010551467	1.18954864
2	5	6	0.014377879	0.90646656
2	5	7	0.01146684	1.11537742
2	5	8	0.011799939	1.03837856
2	5	9	0.011053574	1.16449968
2	5	10	0.010459065	1.25431233
2	6	7	0.010617341	1.45912855
2	6	8	0.011543643	1.13928215
2	6	9	0.010749454	1.31687435
2	6	10	0.010252899	1.40872821
2	7	8	0.013435737	0.860055893
2	7	9	0.010794225	1.23718915
2	7	10	0.010202868	1.3899685
2	8	9	0.0097439	1.9730421
2	8	10	0.009784044	1.81350796
2	9	10	0.009800194	1.70404113
3	4	5	0.012163351	1.08801918
3	4	6	0.012349591	1.00673859
3	4	7	0.011620398	1.16236711
3	4	8	0.01185306	1.08948206
3	4	9	0.011162697	1.2021169
3	4	10	0.010551467	1.28379703
3	5	6	0.01420891	0.938447252
3	5	7	0.01146684	1.20139515
3	5	8	0.011799939	1.09050336
3	5	9	0.011053574	1.23788141
3	5	10	0.010459065	1.3341903
3	6	7	0.010617341	1.63098177
3	6	8	0.011543643	1.20588038
3	6	9	0.010749454	1.41285077
3	6	10	0.010252899	1.50764412
3	7	8	0.013544066	0.83541614
3	7	9	0.010794225	1.29130284
3	7	10	0.010202868	1.46209763
3	8	9	0.0097439	2.17037663
3	8	10	0.009784044	1.9563229
3	9	10	0.009800194	1.80938962
4	5	6	0.014615093	0.878697993
4	5	7	0.01146684	1.23480531
4	5	8	0.011799939	1.09098971
4	5	9	0.011053574	1.26790331
4	5	10	0.010459065	1.37587379
4	6	7	0.010617341	1.81142349
4	6	8	0.011543643	1.25055837
4	6	9	0.010749454	1.49237551
4	6	10	0.010252899	1.59022296
4	7	8	0.013889405	0.762947282
4	7	9	0.010794225	1.31578046
4	7	10	0.010202868	1.50938671
4	8	9	0.0097439	2.36764749
4	8	10	0.009784044	2.088842
4	9	10	0.009800194	1.89769915
5	6	7	0.010617341	2.28069388
5	6	8	0.011543643	1.38061427
5	6	9	0.010749454	1.67264697
5	6	10	0.010252899	1.75956942
5	7	8	0.015130462	0.600437452
5	7	9	0.010794225	1.33876484
5	7	10	0.010202868	1.57143643
5	8	9	0.0097439	2.71778733
5	8	10	0.009784044	2.30893957
5	9	10	0.009800194	2.02895862
6	7	9	0.01176305	0.840480309
6	7	10	0.010202868	1.30181464
6	8	9	0.0097439	3.40865158
6	8	10	0.009784044	2.66141076
6	9	10	0.009800194	2.1547283
7	8	9	0.0097439	5.58820901
7	8	10	0.009784044	3.81490273
7	9	10	0.009800194	2.57372154
8	9	10	0.010045312	0.784174584

